language,product_id,product_parent_id,product_code,product_type_id,product_name,product_scientific_names
EN,150,148.0,0251020,4,Lettuces,"Lactuca sativa, "
EN,237,231.0,0500060,4,Rice,"Oryza sativa, "
EN,120,115.0,0231990,5,Others (2),
EN,179,178.0,0260010,4,Beans (with pods),"Phaseolus vulgaris, "
EN,16,9.0,0120070,4,Macadamias,"Macadamia ternifolia; syn: Macadamia integrifolia, Macadamia tetraphylla, "
EN,272,267.0,0810050,4,Cumin,"Cuminum cyminum, "
EN,88,87.0,0211000,3,(a) potatoes,"Solanum tuberosum subsp. tuberosum, "
EN,152,148.0,0251040,4,Cresses and other sprouts and shoots,"Lepidium sativum subsp. sativum, "
EN,4,2.0,0110020,4,Oranges,"Citrus sinensis, "
EN,360,356.0,1017040,4,Kidney,
EN,64,56.0,0161990,5,Others (2),
EN,98,95.0,0213030,4,Celeriacs/turnip rooted celeries,"Apium graveolens var. rapaceum, "
EN,142,133.0,0243000,3,(c) leafy brassica,
EN,118,115.0,0231030,4,Aubergines/eggplants,"Solanum melongena, "
EN,166,147.0,0256000,3,(f) herbs and edible flowers,
EN,219,208.0,0401110,4,Safflower seeds,"Carthamus tinctorius, "
EN,254,253.0,0632010,4,Strawberry,"Fragaria x ananassa, "
EN,347,342.0,1015050,4,Edible offals (other than liver and kidney),
EN,372,369.0,1030030,4,Geese,"Anser anser, "
EN,128,126.0,0233020,4,Pumpkins,"Cucurbita maxima, "
EN,81,73.0,0163080,4,Pineapples,"Ananas comosus, "
EN,76,73.0,0163030,4,Mangoes,"Mangifera indica, "
EN,11,9.0,0120020,4,Brazil nuts,"Bertholletia excelsa, "
EN,278,266.0,0820000,2,Fruit spices,
EN,15,9.0,0120060,4,Hazelnuts/cobnuts,"Corylus avellana, "
EN,164,147.0,0254000,3,(d) watercresses,"Nasturtium officinale, "
EN,321,313.0,1012000,3,(b) bovine,"Bos primigenius taurus, "
EN,158,147.0,0252000,3,(b) spinaches and similar leaves,
EN,231,,0500000,1,CEREALS,
EN,181,178.0,0260030,4,Peas (with pods),"Pisum sativum, "
EN,303,301.0,0860990,5,Others (2),
EN,119,115.0,0231040,4,Okra/lady's fingers,"Abelmoschus esculentus, "
EN,105,95.0,0213100,4,Swedes/rutabagas,"Brassica napus subsp. napobrassica, "
EN,135,134.0,0241010,4,Broccoli,"Brassica oleracea var. italica, "
EN,228,225.0,0402030,4,Oil palms fruits,"Attalea maripa, Elaeis guineensis, Elaeis oleifera, "
EN,177,166.0,0256990,5,Others (2),
EN,362,356.0,1017990,5,Others (2),
EN,195,185.0,0270990,5,Others (2),
EN,222,208.0,0401140,4,Hemp seeds,"Cannabis sativa subsp. sativa, Cannabis sativa subsp. spontanea, "
EN,213,208.0,0401050,4,Sunflower seeds,"Helianthus annuus, "
EN,3,2.0,0110010,4,Grapefruits,"Citrus paradisi, "
EN,315,314.0,1011010,4,Muscle,
EN,325,321.0,1012040,4,Kidney,
EN,256,253.0,0632030,4,Mate/maté,"Ilex paraguariensis, "
EN,202,201.0,0300010,4,Beans,"Phaseolus vulgaris, "
EN,225,207.0,0402000,2,Oil fruits,
EN,74,73.0,0163010,4,Avocados,"Persea americana, "
EN,232,231.0,0500010,4,Barley,"Hordeum vulgare, "
EN,247,246.0,0631010,4,Chamomile,"Chamaemelum nobile; syn: Anthemis nobilis, Matricaria  recutita; syn: Matricaria chamomilla, "
EN,77,73.0,0163040,4,Papayas,"Carica papaya, "
EN,35,1.0,0150000,2,Berries and small fruits,
